docname,topic,proportion
Seattle13,000,1.0
Seattle12,004,0.87587
Seattle12,001,0.075509
Seattle12,000,0.032248
Seattle12,003,0.016374
Seattle2,003,1.0
Seattle14,004,0.785432
Seattle14,001,0.176136
Seattle14,000,0.038432
Seattle11,004,1.0
Seattle9,004,0.881043
Seattle9,000,0.054268
Seattle9,001,0.040993
Seattle9,003,0.013159
Seattle9,002,0.010537
Seattle0,004,0.915399
Seattle0,001,0.043732
Seattle0,003,0.022041
Seattle0,002,0.018828
Seattle5,002,1.0
Seattle4,004,0.284832
Seattle4,001,0.259474
Seattle4,000,0.241061
Seattle4,002,0.116562
Seattle4,003,0.098072
Seattle19,004,0.842501
Seattle19,001,0.067994
Seattle19,000,0.057875
Seattle19,002,0.018224
Seattle19,003,0.013405
Seattle18,004,0.862181
Seattle18,001,0.053486
Seattle18,000,0.035389
Seattle18,003,0.026026
Seattle18,002,0.022918
Seattle3,004,0.847566
Seattle3,001,0.067126
Seattle3,000,0.032876
Seattle3,003,0.030895
Seattle3,002,0.021538
Seattle16,004,0.919617
Seattle16,000,0.059784
Seattle16,003,0.020599
Seattle1,004,0.509536
Seattle1,001,0.180319
Seattle1,000,0.126309
Seattle1,002,0.114584
Seattle1,003,0.069252
Seattle10,001,1.0
Seattle6,000,1.0
Seattle15,000,1.0
Seattle17,004,0.93046
Seattle17,001,0.06954
Seattle8,004,0.887164
Seattle8,000,0.042345
Seattle8,003,0.039792
Seattle8,001,0.023922
Seattle8,002,0.006777
Seattle7,004,0.832621
Seattle7,001,0.105009
Seattle7,002,0.037266
Seattle7,003,0.025103
